======================================================================
com.apple.WebKit.Networking [18183]: 64-bit    Footprint: 15 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
4784 KB        0 B          0 B        220    Owned physical footprint (unmapped)
3440 KB        0 B          0 B        759    MALLOC_SMALL
3008 KB        0 B        96 KB          5    WebKit malloc
1047 KB        0 B          0 B        540    __DATA_DIRTY
 608 KB        0 B          0 B          9    MALLOC metadata
 456 KB        0 B          0 B        577    __DATA
 433 KB        0 B          0 B          1    page table
 240 KB        0 B          0 B          1    MALLOC_TINY
 194 KB        0 B          0 B       1529    unused dyld shared cache area
 160 KB        0 B          0 B          8    stack
 158 KB        0 B          0 B        336    __AUTH
 144 KB        0 B          0 B          5    SQLite page cache
 112 KB        0 B          0 B          9    untagged (VM_ALLOCATE)
  64 KB        0 B          0 B          1    Activity Tracing
  48 KB        0 B          0 B          2    __TPRO_CONST
  16 KB        0 B          0 B        630    __DATA_CONST
  16 KB        0 B          0 B          1    os_alloc_once
    0 B     704 KB          0 B         15    mapped file
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B        625    __AUTH_CONST
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B        648    __TEXT
    0 B        0 B          0 B         31    guard
    0 B        0 B          0 B          3    __LINKEDIT
    ---        ---          ---        ---    ---
  15 MB     704 KB        96 KB       5994    TOTAL

Auxiliary data:
    phys_footprint: 15 MB
    phys_footprint_peak: 52 MB

