======================================================================
com.apple.WebKit.WebContent [18184]: 64-bit    Footprint: 352 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
 230 MB        0 B          0 B        218    Owned physical footprint (unmapped) (graphics)
 100 MB        0 B       256 KB         11    WebKit malloc
5440 KB        0 B          0 B        489    MALLOC_SMALL
5232 KB        0 B          0 B          1    untagged (VM_ALLOCATE) (graphics)
4432 KB        0 B          0 B          3    JS JIT generated code
2272 KB        0 B          0 B        187    untagged (VM_ALLOCATE)
1312 KB        0 B          0 B        545    JS VM Gigacage
1271 KB        0 B          0 B        540    __DATA_DIRTY
 774 KB        0 B          0 B        580    __DATA
 657 KB        0 B          0 B          1    page table
 416 KB        0 B          0 B         18    stack
 400 KB        0 B          0 B          9    MALLOC metadata
 224 KB        0 B          0 B          1    MALLOC_TINY
 197 KB        0 B          0 B       1565    unused dyld shared cache area
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        340    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
  16 KB        0 B          0 B        630    __DATA_CONST
    0 B        0 B        16 KB          2    ImageIO
    0 B    1504 KB          0 B        153    mapped file
    0 B        0 B          0 B          3    app-specific tag 1
    0 B        0 B          0 B          3    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        648    __TEXT
    0 B        0 B          0 B        210    guard
    0 B        0 B          0 B        626    __AUTH_CONST
    ---        ---          ---        ---    ---
 352 MB    1504 KB       272 KB       6798    TOTAL

Auxiliary data:
    phys_footprint: 352 MB
    phys_footprint_peak: 840 MB

