======================================================================
com.apple.WebKit.WebContent [62125]: 64-bit    Footprint: 453 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
 384 MB        0 B          0 B        246    Owned physical footprint (unmapped) (graphics)
  49 MB        0 B          0 B          9    WebKit malloc
5648 KB        0 B          0 B        494    MALLOC_SMALL
5232 KB        0 B          0 B          1    untagged (VM_ALLOCATE) (graphics)
2416 KB        0 B          0 B          3    JS JIT generated code
2176 KB        0 B          0 B          9    untagged (VM_ALLOCATE)
1271 KB        0 B          0 B        540    __DATA_DIRTY
 864 KB        0 B          0 B        545    JS VM Gigacage
 785 KB        0 B          0 B        580    __DATA
 545 KB        0 B          0 B          1    page table
 400 KB        0 B          0 B          9    MALLOC metadata
 320 KB        0 B          0 B         12    stack
 240 KB        0 B          0 B          1    MALLOC_TINY
 202 KB        0 B          0 B       1565    unused dyld shared cache area
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        340    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
  16 KB        0 B          0 B        630    __DATA_CONST
    0 B        0 B        16 KB          2    ImageIO
    0 B    1024 KB          0 B         24    mapped file
    0 B        0 B          0 B          3    app-specific tag 1
    0 B        0 B          0 B          3    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        648    __TEXT
    0 B        0 B          0 B         49    guard
    0 B        0 B          0 B        626    __AUTH_CONST
    ---        ---          ---        ---    ---
 453 MB    1024 KB        16 KB       6355    TOTAL

Auxiliary data:
    phys_footprint: 453 MB
    phys_footprint_peak: 781 MB

