======================================================================
aidog [62071]: 64-bit    Footprint: 50 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  33 MB        0 B          0 B         39    MALLOC_SMALL
3568 KB        0 B       400 KB          7    WebKit malloc
2252 KB        0 B          0 B        881    __DATA_DIRTY
1824 KB        0 B          0 B         91    stack
1408 KB        0 B          0 B       1033    __DATA_CONST
1403 KB        0 B          0 B        977    __DATA
1152 KB        0 B          0 B         13    MALLOC metadata
1152 KB        0 B          0 B         66    CoreAnimation
 833 KB        0 B          0 B          1    page table
 624 KB        0 B          0 B          2    CoreServices
 560 KB        0 B          0 B        110    untagged (VM_ALLOCATE)
 528 KB        0 B          0 B          4    CoreUI image data
 442 KB        0 B          0 B        636    __AUTH
 383 KB        0 B          0 B       2539    unused dyld shared cache area
 368 KB        0 B          0 B          1    MALLOC_TINY
 128 KB        0 B       244 MB        191    IOSurface
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B       1025    __AUTH_CONST
 112 KB        0 B          0 B          2    __TPRO_CONST
  96 KB        0 B          0 B          3    MALLOC_NANO
  64 KB        0 B          0 B          2    IOAccelerator
  64 KB        0 B          0 B          4    CoreGraphics
  48 KB        0 B          0 B          1    Activity Tracing
  48 KB        0 B          0 B          3    ColorSync
  48 KB        0 B          0 B          8    IOKit
  32 KB        0 B          0 B          1    CG image
  16 KB        0 B          0 B          2    IOAccelerator (graphics)
  16 KB        0 B          0 B          1    tag 22
  16 KB        0 B          0 B          1    os_alloc_once
  16 KB        0 B          0 B          1    Foundation
    0 B      11 MB          0 B       1055    __TEXT
    0 B    1312 KB          0 B         61    mapped file
    0 B        0 B          0 B          1    __GLSLBUILTINS
    0 B        0 B          0 B          6    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    SQLite page cache
    0 B        0 B          0 B          1    __CTF
    ---        ---          ---        ---    ---
  50 MB      13 MB       245 MB       8806    TOTAL

Auxiliary data:
    phys_footprint: 50 MB
    phys_footprint_peak: 54 MB

