======================================================================
com.apple.WebKit.WebContent [62273]: 64-bit    Footprint: 34 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  23 MB        0 B       416 KB          6    WebKit malloc
3312 KB        0 B       128 KB        360    MALLOC_SMALL
2048 KB        0 B          0 B          3    Owned physical footprint (unmapped) (graphics)
1568 KB        0 B          0 B          3    JS JIT generated code
1239 KB        0 B          0 B        540    __DATA_DIRTY
 753 KB        0 B          0 B        580    __DATA
 561 KB        0 B          0 B          1    page table
 400 KB        0 B          0 B         18    stack
 304 KB        0 B          0 B        545    JS VM Gigacage
 288 KB        0 B          0 B          8    MALLOC metadata
 240 KB        0 B          0 B          1    MALLOC_TINY
 224 KB        0 B          0 B          8    untagged (VM_ALLOCATE)
 200 KB        0 B          0 B       1565    unused dyld shared cache area
  80 KB        0 B          0 B          4    app-specific tag 2
  64 KB        0 B          0 B        340    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B        630    __DATA_CONST
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B     656 KB          0 B         22    mapped file
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B        626    __AUTH_CONST
    0 B        0 B          0 B          3    app-specific tag 1
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B        648    __TEXT
    0 B        0 B          0 B         45    guard
    0 B        0 B          0 B          3    __LINKEDIT
    ---        ---          ---        ---    ---
  34 MB     656 KB       544 KB       5970    TOTAL

Auxiliary data:
    phys_footprint: 34 MB
    phys_footprint_peak: 39 MB

