======================================================================
com.apple.WebKit.GPU [62123]: 64-bit    Footprint: 81 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  54 MB        0 B          0 B         48    Owned physical footprint (unmapped) (graphics)
8736 KB        0 B      4768 KB        746    MALLOC_SMALL
7744 KB        0 B          0 B         93    IOAccelerator (graphics)
3840 KB        0 B          0 B         30    Owned physical footprint (unmapped)
2016 KB        0 B       816 KB          5    WebKit malloc
1362 KB        0 B          0 B          1    page table
1127 KB        0 B          0 B        476    __DATA_DIRTY
 768 KB        0 B        96 KB         24    stack
 582 KB        0 B          0 B        513    __DATA
 448 KB        0 B          0 B         10    MALLOC metadata
 320 KB        0 B          0 B          1    MALLOC_TINY
 224 KB        0 B          0 B         19    untagged (VM_ALLOCATE)
 213 KB        0 B          0 B       1455    unused dyld shared cache area
 128 KB        0 B          0 B          1    Accelerate image backing stores
 128 KB        0 B          0 B          4    CoreAnimation
 112 KB        0 B          0 B          4    IOAccelerator
 112 KB        0 B          0 B        562    __AUTH_CONST
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        291    __AUTH
  64 KB        0 B          0 B        564    __DATA_CONST
  64 KB        0 B          0 B          9    IOKit
  64 KB        0 B          0 B          2    __TPRO_CONST
  48 KB        0 B          0 B          3    ColorSync
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B        0 B       381 MB        239    IOSurface
    0 B    5296 KB          0 B         18    mapped file
    0 B    2064 KB          0 B        582    __TEXT
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          4    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        372    guard
    ---        ---          ---        ---    ---
  81 MB    7360 KB       387 MB       6122    TOTAL

Auxiliary data:
    phys_footprint: 81 MB
    phys_footprint_peak: 149 MB

