======================================================================
aidog [33993]: 64-bit    Footprint: 116 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  99 MB        0 B      9648 KB        110    MALLOC_SMALL
3376 KB        0 B       400 KB          6    WebKit malloc
2212 KB        0 B          0 B        881    __DATA_DIRTY
1872 KB        0 B          0 B         85    stack
1472 KB        0 B          0 B         14    MALLOC metadata
1408 KB        0 B          0 B       1033    __DATA_CONST
1382 KB        0 B          0 B        977    __DATA
1152 KB        0 B          0 B         64    CoreAnimation
 881 KB        0 B          0 B          1    page table
 624 KB        0 B          0 B          2    CoreServices
 608 KB        0 B          0 B        112    untagged (VM_ALLOCATE)
 528 KB        0 B          0 B          4    CoreUI image data
 422 KB        0 B          0 B        636    __AUTH
 336 KB        0 B          0 B       2539    unused dyld shared cache area
 336 KB        0 B          0 B          1    MALLOC_TINY
 128 KB        0 B       407 MB        195    IOSurface
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B       1025    __AUTH_CONST
 112 KB        0 B          0 B          2    __TPRO_CONST
  96 KB        0 B          0 B          3    MALLOC_NANO
  64 KB        0 B          0 B          2    IOAccelerator
  64 KB        0 B          0 B          4    CoreGraphics
  48 KB        0 B          0 B          1    Activity Tracing
  48 KB        0 B          0 B          3    ColorSync
  48 KB        0 B          0 B          8    IOKit
  16 KB        0 B          0 B          2    IOAccelerator (graphics)
  16 KB        0 B          0 B          1    tag 22
  16 KB        0 B          0 B          1    os_alloc_once
  16 KB        0 B          0 B          1    Foundation
    0 B      12 MB          0 B       1055    __TEXT
    0 B     816 KB          0 B         58    mapped file
    0 B        0 B          0 B          1    __GLSLBUILTINS
    0 B        0 B          0 B          6    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    __CTF
    ---        ---          ---        ---    ---
 116 MB      13 MB       417 MB       8870    TOTAL

Auxiliary data:
    phys_footprint: 116 MB
    phys_footprint_peak: 133 MB

