======================================================================
com.apple.WebKit.GPU [34038]: 64-bit    Footprint: 28 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  14 MB        0 B        32 KB        766    MALLOC_SMALL
2944 KB        0 B          0 B         28    Owned physical footprint (unmapped) (graphics)
2736 KB        0 B          0 B        236    IOAccelerator (graphics)
2176 KB        0 B       128 KB          5    WebKit malloc
1506 KB        0 B          0 B          1    page table
1127 KB        0 B          0 B        476    __DATA_DIRTY
 582 KB        0 B          0 B        513    __DATA
 528 KB        0 B          0 B         33    CoreAnimation
 496 KB        0 B          0 B         16    stack
 448 KB        0 B          0 B         10    MALLOC metadata
 320 KB        0 B          0 B          1    MALLOC_TINY
 224 KB        0 B          0 B         22    untagged (VM_ALLOCATE)
 213 KB        0 B          0 B       1455    unused dyld shared cache area
 160 KB        0 B          0 B          5    IOAccelerator
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B        562    __AUTH_CONST
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        291    __AUTH
  64 KB        0 B          0 B        564    __DATA_CONST
  64 KB        0 B          0 B          9    IOKit
  64 KB        0 B          0 B          2    __TPRO_CONST
  48 KB        0 B          0 B          3    ColorSync
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B        0 B       662 MB        218    IOSurface
    0 B    1120 KB          0 B        582    __TEXT
    0 B     416 KB          0 B         18    mapped file
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          4    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        410    guard
    0 B        0 B          0 B         22    Owned physical footprint (unmapped)
    ---        ---          ---        ---    ---
  28 MB    1536 KB       662 MB       6299    TOTAL

Auxiliary data:
    phys_footprint: 28 MB
    phys_footprint_peak: 266 MB

