======================================================================
com.apple.WebKit.WebContent [34076]: 64-bit    Footprint: 44 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  32 MB        0 B       336 KB          7    WebKit malloc
3360 KB        0 B          0 B        393    MALLOC_SMALL
2048 KB        0 B          0 B          3    Owned physical footprint (unmapped) (graphics)
2000 KB        0 B          0 B          3    JS JIT generated code
1239 KB        0 B          0 B        540    __DATA_DIRTY
 753 KB        0 B          0 B        580    __DATA
 593 KB        0 B          0 B          1    page table
 592 KB        0 B          0 B          8    untagged (VM_ALLOCATE)
 480 KB        0 B          0 B         20    stack
 304 KB        0 B          0 B        545    JS VM Gigacage
 272 KB        0 B          0 B          8    MALLOC metadata
 240 KB        0 B          0 B          1    MALLOC_TINY
 200 KB        0 B          0 B       1565    unused dyld shared cache area
  80 KB        0 B          0 B          4    app-specific tag 2
  64 KB        0 B          0 B        340    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B        630    __DATA_CONST
  16 KB        0 B          0 B          1    os_alloc_once
    0 B     448 KB          0 B         22    mapped file
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B        626    __AUTH_CONST
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          3    app-specific tag 1
    0 B        0 B          0 B        648    __TEXT
    0 B        0 B          0 B         49    guard
    0 B        0 B          0 B          3    __LINKEDIT
    ---        ---          ---        ---    ---
  44 MB     448 KB       336 KB       6010    TOTAL

Auxiliary data:
    phys_footprint: 44 MB
    phys_footprint_peak: 46 MB

