======================================================================
aidog [75417]: 64-bit    Footprint: 44 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  24 MB        0 B          0 B         16    MALLOC_SMALL
4000 KB        0 B          0 B          1    MALLOC_LARGE
2848 KB        0 B          0 B          6    WebKit malloc
2313 KB        0 B          0 B        882    __DATA_DIRTY
1824 KB        0 B          0 B         87    stack
1446 KB        0 B          0 B        978    __DATA
1408 KB        0 B          0 B       1034    __DATA_CONST
1136 KB        0 B          0 B         13    MALLOC metadata
1072 KB        0 B          0 B         63    CoreAnimation
 801 KB        0 B          0 B          1    page table
 624 KB        0 B          0 B          2    CoreServices
 544 KB        0 B          0 B        113    untagged (VM_ALLOCATE)
 453 KB        0 B          0 B        637    __AUTH
 400 KB        0 B          0 B          3    CoreUI image data
 380 KB        0 B          0 B       2533    unused dyld shared cache area
 352 KB        0 B          0 B          1    MALLOC_TINY
 128 KB        0 B       185 MB        110    IOSurface
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B       1026    __AUTH_CONST
 112 KB        0 B          0 B          2    __TPRO_CONST
  96 KB        0 B          0 B          3    MALLOC_NANO
  64 KB        0 B          0 B          2    IOAccelerator
  64 KB        0 B          0 B          4    CoreGraphics
  48 KB        0 B          0 B          1    Activity Tracing
  48 KB        0 B          0 B          3    ColorSync
  48 KB        0 B          0 B          8    IOKit
  16 KB        0 B          0 B          1    CG image
  16 KB        0 B          0 B          2    IOAccelerator (graphics)
  16 KB        0 B          0 B          1    tag 22
  16 KB        0 B          0 B          2    Foundation
  16 KB        0 B          0 B          1    os_alloc_once
    0 B        0 B        16 KB          2    ImageIO
    0 B    1312 KB          0 B       1056    __TEXT
    0 B     416 KB          0 B         74    mapped file
    0 B        0 B          0 B          1    __GLSLBUILTINS
    0 B        0 B          0 B          6    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    SQLite page cache
    0 B        0 B          0 B          1    __CTF
    ---        ---          ---        ---    ---
  44 MB    1728 KB       185 MB       8713    TOTAL

Auxiliary data:
    phys_footprint: 44 MB
    phys_footprint_peak: 49 MB

