======================================================================
com.apple.WebKit.WebContent [75443]: 64-bit    Footprint: 206 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
 147 MB        0 B          0 B        100    Owned physical footprint (unmapped) (graphics)
  39 MB        0 B          0 B          8    WebKit malloc
5712 KB        0 B          0 B        488    MALLOC_SMALL
5232 KB        0 B          0 B          1    untagged (VM_ALLOCATE) (graphics)
2832 KB        0 B          0 B          3    JS JIT generated code
2112 KB        0 B          0 B          8    untagged (VM_ALLOCATE)
1319 KB        0 B          0 B        541    __DATA_DIRTY
 817 KB        0 B          0 B        581    __DATA
 561 KB        0 B          0 B          1    page table
 448 KB        0 B          0 B        545    JS VM Gigacage
 384 KB        0 B          0 B          9    MALLOC metadata
 256 KB        0 B          0 B          1    MALLOC_TINY
 224 KB        0 B          0 B          6    stack
 202 KB        0 B          0 B       1561    unused dyld shared cache area
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        340    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B        631    __DATA_CONST
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B    1648 KB          0 B         27    mapped file
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B        627    __AUTH_CONST
    0 B        0 B          0 B          3    app-specific tag 1
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B        649    __TEXT
    0 B        0 B          0 B         48    guard
    0 B        0 B          0 B          3    __LINKEDIT
    ---        ---          ---        ---    ---
 206 MB    1648 KB          0 B       6196    TOTAL

Auxiliary data:
    phys_footprint: 206 MB
    phys_footprint_peak: 334 MB

