======================================================================
aidog [61827]: 64-bit    Footprint: 42 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  23 MB        0 B          0 B         15    MALLOC_SMALL
4000 KB        0 B          0 B          1    MALLOC_LARGE
2624 KB        0 B          0 B          6    WebKit malloc
2182 KB        0 B          0 B        880    __DATA_DIRTY
1760 KB        0 B          0 B         83    stack
1408 KB        0 B          0 B       1032    __DATA_CONST
1366 KB        0 B          0 B        976    __DATA
1136 KB        0 B          0 B         13    MALLOC metadata
 769 KB        0 B          0 B          1    page table
 640 KB        0 B          0 B          3    CoreServices
 496 KB    7728 KB          0 B         58    mapped file
 384 KB        0 B          0 B        102    untagged (VM_ALLOCATE)
 358 KB        0 B          0 B        635    __AUTH
 336 KB        0 B          0 B          1    MALLOC_TINY
 334 KB        0 B          0 B       2533    unused dyld shared cache area
 272 KB        0 B          0 B          2    CoreUI image data
 144 KB        0 B          0 B          6    CoreAnimation
 128 KB        0 B        18 MB         19    IOSurface
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B       1024    __AUTH_CONST
 112 KB        0 B          0 B          2    __TPRO_CONST
  96 KB        0 B          0 B          3    MALLOC_NANO
  64 KB        0 B          0 B          2    IOAccelerator
  64 KB        0 B          0 B          4    CoreGraphics
  48 KB        0 B          0 B          1    Activity Tracing
  48 KB        0 B          0 B          3    ColorSync
  48 KB        0 B          0 B          8    IOKit
  16 KB        0 B          0 B          1    CG image
  16 KB        0 B          0 B          2    IOAccelerator (graphics)
  16 KB        0 B          0 B          1    tag 22
  16 KB        0 B          0 B          1    os_alloc_once
  16 KB        0 B          0 B          1    Foundation
    0 B        0 B        16 KB          2    ImageIO
    0 B    4016 KB          0 B       1054    __TEXT
    0 B      16 KB          0 B          6    __LINKEDIT
    0 B        0 B          0 B          1    __GLSLBUILTINS
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    SQLite page cache
    0 B        0 B          0 B          1    __CTF
    ---        ---          ---        ---    ---
  42 MB      11 MB        18 MB       8520    TOTAL

Auxiliary data:
    phys_footprint: 42 MB
    phys_footprint_peak: 50 MB

