======================================================================
com.apple.WebKit.GPU [61841]: 64-bit    Footprint: 12 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
5392 KB        0 B          0 B        587    MALLOC_SMALL
1504 KB        0 B          0 B          5    WebKit malloc
1127 KB        0 B          0 B        477    __DATA_DIRTY
 704 KB        0 B          0 B          7    IOAccelerator (graphics)
 582 KB        0 B          0 B        515    __DATA
 577 KB        0 B          0 B          1    page table
 432 KB        0 B          0 B         10    MALLOC metadata
 320 KB        0 B          0 B          1    MALLOC_TINY
 304 KB        0 B          0 B         14    stack
 224 KB        0 B          0 B         17    untagged (VM_ALLOCATE)
 213 KB        0 B          0 B       1457    unused dyld shared cache area
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B        561    __AUTH_CONST
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        291    __AUTH
  64 KB        0 B          0 B          2    IOAccelerator
  64 KB        0 B          0 B        564    __DATA_CONST
  64 KB        0 B          0 B          2    __TPRO_CONST
  48 KB        0 B          0 B          3    ColorSync
  48 KB        0 B          0 B          8    IOKit
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B        0 B        18 MB         18    IOSurface
    0 B    2112 KB          0 B        582    __TEXT
    0 B    1024 KB          0 B         16    mapped file
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          4    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B         87    guard
    ---        ---          ---        ---    ---
  12 MB    3136 KB        18 MB       5276    TOTAL

Auxiliary data:
    phys_footprint: 12 MB
    phys_footprint_peak: 113 MB

