======================================================================
com.apple.WebKit.GPU [72413]: 64-bit    Footprint: 42 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  23 MB        0 B          0 B          6    CoreAnimation
8736 KB        0 B          0 B        591    MALLOC_SMALL
2496 KB        0 B          0 B        135    IOAccelerator (graphics)
1728 KB        0 B          0 B         22    Owned physical footprint (unmapped) (graphics)
1712 KB        0 B          0 B          5    WebKit malloc
1127 KB        0 B          0 B        477    __DATA_DIRTY
 657 KB        0 B          0 B          1    page table
 582 KB        0 B          0 B        515    __DATA
 432 KB        0 B          0 B         10    MALLOC metadata
 384 KB        0 B          0 B         16    stack
 320 KB        0 B          0 B          1    MALLOC_TINY
 224 KB        0 B          0 B         18    untagged (VM_ALLOCATE)
 213 KB        0 B          0 B       1457    unused dyld shared cache area
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B        561    __AUTH_CONST
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        291    __AUTH
  64 KB        0 B          0 B          3    IOAccelerator
  64 KB        0 B          0 B        564    __DATA_CONST
  64 KB        0 B          0 B          9    IOKit
  64 KB        0 B          0 B          2    __TPRO_CONST
  48 KB        0 B          0 B          3    ColorSync
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B        0 B        42 MB         36    IOSurface
    0 B     592 KB          0 B        582    __TEXT
    0 B     512 KB          0 B         17    mapped file
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          4    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        139    guard
    0 B        0 B          0 B         22    Owned physical footprint (unmapped)
    ---        ---          ---        ---    ---
  42 MB    1104 KB        42 MB       5534    TOTAL

Auxiliary data:
    phys_footprint: 42 MB
    phys_footprint_peak: 126 MB

