======================================================================
com.apple.WebKit.WebContent [72415]: 64-bit    Footprint: 84 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  50 MB        0 B          0 B         32    Owned physical footprint (unmapped) (graphics)
  19 MB        0 B          0 B          7    WebKit malloc
5232 KB        0 B          0 B          1    untagged (VM_ALLOCATE) (graphics)
4400 KB        0 B          0 B        436    MALLOC_SMALL
1271 KB        0 B          0 B        540    __DATA_DIRTY
 774 KB        0 B          0 B        580    __DATA
 577 KB        0 B          0 B          1    page table
 416 KB        0 B          0 B          3    JS JIT generated code
 384 KB        0 B          0 B        545    JS VM Gigacage
 368 KB        0 B          0 B          9    MALLOC metadata
 304 KB        0 B          0 B          8    untagged (VM_ALLOCATE)
 272 KB        0 B          0 B         12    stack
 240 KB        0 B          0 B          1    MALLOC_TINY
 197 KB        0 B          0 B       1565    unused dyld shared cache area
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        340    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B        630    __DATA_CONST
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B    1104 KB          0 B         26    mapped file
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B        626    __AUTH_CONST
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          3    app-specific tag 1
    0 B        0 B          0 B        648    __TEXT
    0 B        0 B          0 B         46    guard
    0 B        0 B          0 B          3    __LINKEDIT
    ---        ---          ---        ---    ---
  84 MB    1104 KB          0 B       6077    TOTAL

Auxiliary data:
    phys_footprint: 84 MB
    phys_footprint_peak: 137 MB

