======================================================================
com.apple.WebKit.Networking [91553]: 64-bit    Footprint: 9729 KB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
4016 KB        0 B       960 KB          4    WebKit malloc
2656 KB        0 B       208 KB        435    MALLOC_SMALL
 971 KB        0 B          0 B        477    __DATA_DIRTY
 369 KB        0 B          0 B          1    page table
 359 KB        0 B          0 B        513    __DATA
 304 KB        0 B          0 B          8    MALLOC metadata
 256 KB        0 B          0 B         12    stack
 192 KB        0 B          0 B          1    MALLOC_TINY
 169 KB        0 B          0 B       1441    unused dyld shared cache area
 160 KB        0 B          0 B          4    SQLite page cache
 112 KB        0 B          0 B          9    untagged (VM_ALLOCATE)
  54 KB        0 B          0 B        290    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B        563    __DATA_CONST
  16 KB        0 B          0 B          1    os_alloc_once
    0 B     960 KB          0 B         13    mapped file
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B        560    __AUTH_CONST
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B        581    __TEXT
    0 B        0 B          0 B         30    guard
    0 B        0 B          0 B          3    __LINKEDIT
    ---        ---          ---        ---    ---
9729 KB     960 KB      1168 KB       4988    TOTAL

Auxiliary data:
    phys_footprint: 9761 KB
    phys_footprint_peak: 22 MB

