======================================================================
com.apple.WebKit.WebContent [91565]: 64-bit    Footprint: 26 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  16 MB        0 B       864 KB          5    WebKit malloc
3680 KB        0 B          0 B        373    MALLOC_SMALL
2048 KB        0 B          0 B          3    Owned physical footprint (unmapped) (graphics)
1239 KB        0 B          0 B        540    __DATA_DIRTY
 896 KB        0 B          0 B          3    JS JIT generated code
 726 KB        0 B          0 B        580    __DATA
 529 KB        0 B          0 B          1    page table
 400 KB        0 B       128 KB         22    stack
 288 KB        0 B          0 B        545    JS VM Gigacage
 272 KB        0 B          0 B          8    MALLOC metadata
 240 KB        0 B          0 B          1    MALLOC_TINY
 224 KB        0 B          0 B          8    untagged (VM_ALLOCATE)
 195 KB        0 B          0 B       1565    unused dyld shared cache area
  80 KB        0 B          0 B          4    app-specific tag 2
  64 KB        0 B          0 B        340    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B        630    __DATA_CONST
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B    2112 KB          0 B         24    mapped file
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B        626    __AUTH_CONST
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          3    app-specific tag 1
    0 B        0 B          0 B        648    __TEXT
    0 B        0 B          0 B         50    guard
    0 B        0 B          0 B          3    __LINKEDIT
    ---        ---          ---        ---    ---
  26 MB    2112 KB       992 KB       5993    TOTAL

Auxiliary data:
    phys_footprint: 26 MB
    phys_footprint_peak: 38 MB

