======================================================================
aidog [29572]: 64-bit    Footprint: 46 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  30 MB        0 B          0 B         21    MALLOC_SMALL
3072 KB        0 B        80 KB          6    WebKit malloc
2235 KB        0 B          0 B        880    __DATA_DIRTY
1728 KB        0 B          0 B         83    stack
1408 KB        0 B          0 B       1032    __DATA_CONST
1387 KB        0 B          0 B        976    __DATA
1120 KB        0 B          0 B         13    MALLOC metadata
1120 KB        0 B          0 B         63    CoreAnimation
 769 KB        0 B          0 B          1    page table
 624 KB        0 B          0 B          2    CoreServices
 544 KB        0 B          0 B        109    untagged (VM_ALLOCATE)
 442 KB        0 B          0 B        635    __AUTH
 384 KB        0 B          0 B          3    CoreUI image data
 368 KB        0 B          0 B       2533    unused dyld shared cache area
 336 KB        0 B          0 B          1    MALLOC_TINY
 128 KB        0 B       172 MB         52    IOSurface
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B       1024    __AUTH_CONST
 112 KB        0 B          0 B          2    __TPRO_CONST
  96 KB        0 B          0 B          3    MALLOC_NANO
  64 KB        0 B          0 B          2    IOAccelerator
  64 KB        0 B          0 B          4    CoreGraphics
  48 KB        0 B          0 B          8    IOKit
  48 KB        0 B          0 B          3    ColorSync
  32 KB        0 B          0 B          1    Activity Tracing
  32 KB        0 B          0 B          1    CG image
  16 KB        0 B          0 B          2    IOAccelerator (graphics)
  16 KB        0 B          0 B          1    tag 22
  16 KB        0 B          0 B          1    os_alloc_once
  16 KB        0 B          0 B          1    Foundation
    0 B      18 MB          0 B       1054    __TEXT
    0 B      14 MB          0 B         57    mapped file
    0 B     160 KB          0 B          6    __LINKEDIT
    0 B        0 B          0 B          1    __GLSLBUILTINS
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    SQLite page cache
    0 B        0 B          0 B          1    __CTF
    ---        ---          ---        ---    ---
  46 MB      32 MB       172 MB       8619    TOTAL

Auxiliary data:
    phys_footprint: 46 MB
    phys_footprint_peak: 52 MB

