======================================================================
com.apple.WebKit.GPU [29585]: 64-bit    Footprint: 22 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
9968 KB        0 B       160 KB        655    MALLOC_SMALL
2944 KB        0 B          0 B         22    Owned physical footprint (unmapped) (graphics)
2384 KB        0 B          0 B         82    IOAccelerator (graphics)
1760 KB        0 B        80 KB          5    WebKit malloc
1127 KB        0 B          0 B        476    __DATA_DIRTY
 993 KB        0 B          0 B          1    page table
 582 KB        0 B          0 B        513    __DATA
 464 KB        0 B          0 B         16    stack
 448 KB        0 B          0 B         10    MALLOC metadata
 304 KB        0 B          0 B          1    MALLOC_TINY
 224 KB        0 B          0 B         19    untagged (VM_ALLOCATE)
 213 KB        0 B          0 B       1455    unused dyld shared cache area
 160 KB        0 B          0 B         10    CoreAnimation
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B        562    __AUTH_CONST
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        291    __AUTH
  64 KB        0 B          0 B          4    IOAccelerator
  64 KB        0 B          0 B        564    __DATA_CONST
  64 KB        0 B          0 B          9    IOKit
  64 KB        0 B          0 B          2    __TPRO_CONST
  48 KB        0 B          0 B          3    ColorSync
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B        0 B       331 MB         97    IOSurface
    0 B      15 MB          0 B         18    mapped file
    0 B    2576 KB          0 B        582    __TEXT
    0 B      48 KB          0 B          4    __LINKEDIT
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        203    guard
    0 B        0 B          0 B         22    Owned physical footprint (unmapped)
    ---        ---          ---        ---    ---
  22 MB      18 MB       331 MB       5673    TOTAL

Auxiliary data:
    phys_footprint: 22 MB
    phys_footprint_peak: 201 MB

