======================================================================
com.apple.WebKit.Networking [29586]: 64-bit    Footprint: 6929 KB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
2496 KB        0 B          0 B          5    WebKit malloc
1712 KB        0 B          0 B        244    MALLOC_SMALL
 971 KB        0 B          0 B        477    __DATA_DIRTY
 385 KB        0 B          0 B          1    page table
 359 KB        0 B          0 B        513    __DATA
 240 KB        0 B          0 B          8    MALLOC metadata
 176 KB        0 B          0 B          1    MALLOC_TINY
 169 KB        0 B          0 B       1441    unused dyld shared cache area
 112 KB        0 B          0 B          9    untagged (VM_ALLOCATE)
 112 KB        0 B          0 B          6    stack
  54 KB        0 B          0 B        290    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          4    SQLite page cache
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B        563    __DATA_CONST
  16 KB        0 B          0 B          1    os_alloc_once
    0 B    1520 KB          0 B         13    mapped file
    0 B      16 KB          0 B        581    __TEXT
    0 B      16 KB          0 B          3    __LINKEDIT
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B        560    __AUTH_CONST
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B         28    guard
    ---        ---          ---        ---    ---
6929 KB    1552 KB          0 B       4790    TOTAL

Auxiliary data:
    phys_footprint: 6961 KB
    phys_footprint_peak: 7985 KB

