======================================================================
com.apple.WebKit.WebContent [30181]: 64-bit    Footprint: 71 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  27 MB        0 B          0 B         74    Owned physical footprint (unmapped) (graphics)
  26 MB        0 B        64 KB          5    WebKit malloc
5232 KB        0 B          0 B          1    untagged (VM_ALLOCATE) (graphics)
4112 KB        0 B        16 KB        417    MALLOC_SMALL
2160 KB        0 B          0 B          8    untagged (VM_ALLOCATE)
1792 KB        0 B          0 B          3    JS JIT generated code
1255 KB        0 B          0 B        540    __DATA_DIRTY
 774 KB        0 B          0 B        580    __DATA
 561 KB        0 B          0 B          1    page table
 432 KB        0 B          0 B        545    JS VM Gigacage
 352 KB        0 B          0 B          9    MALLOC metadata
 240 KB        0 B          0 B          1    MALLOC_TINY
 197 KB        0 B          0 B       1565    unused dyld shared cache area
 176 KB        0 B          0 B          6    stack
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        340    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
  16 KB        0 B          0 B        630    __DATA_CONST
    0 B        0 B        16 KB          2    ImageIO
    0 B    6480 KB          0 B         26    mapped file
    0 B      16 KB          0 B          3    __LINKEDIT
    0 B      16 KB          0 B        648    __TEXT
    0 B        0 B          0 B          3    app-specific tag 1
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B         45    guard
    0 B        0 B          0 B        626    __AUTH_CONST
    ---        ---          ---        ---    ---
  71 MB    6512 KB        96 KB       6093    TOTAL

Auxiliary data:
    phys_footprint: 71 MB
    phys_footprint_peak: 292 MB

