======================================================================
com.apple.WebKit.GPU [30179]: 64-bit    Footprint: 20 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
9680 KB        0 B      1024 KB        642    MALLOC_SMALL
2304 KB        0 B        12 MB        115    IOAccelerator (graphics)
2016 KB        0 B       608 KB          6    WebKit malloc
1728 KB        0 B        26 MB         35    Owned physical footprint (unmapped) (graphics)
1127 KB        0 B          0 B        477    __DATA_DIRTY
 897 KB        0 B          0 B          1    page table
 582 KB        0 B          0 B        515    __DATA
 448 KB        0 B          0 B         10    MALLOC metadata
 416 KB        0 B          0 B         18    stack
 320 KB        0 B          0 B          1    MALLOC_TINY
 224 KB        0 B          0 B         18    untagged (VM_ALLOCATE)
 213 KB        0 B          0 B       1457    unused dyld shared cache area
 128 KB        0 B          0 B          1    Accelerate image backing stores
 128 KB        0 B          0 B          8    CoreAnimation
 112 KB        0 B          0 B          3    IOAccelerator
 112 KB        0 B          0 B        561    __AUTH_CONST
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        291    __AUTH
  64 KB        0 B          0 B        564    __DATA_CONST
  64 KB        0 B          0 B          9    IOKit
  64 KB        0 B          0 B          2    __TPRO_CONST
  48 KB        0 B          0 B          3    ColorSync
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B        0 B       168 MB         82    IOSurface
    0 B        0 B      4480 KB         35    Owned physical footprint (unmapped)
    0 B    5184 KB          0 B         18    mapped file
    0 B    2160 KB          0 B        582    __TEXT
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          4    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        205    guard
    ---        ---          ---        ---    ---
  20 MB    7344 KB       212 MB       5709    TOTAL

Auxiliary data:
    phys_footprint: 20 MB
    phys_footprint_peak: 154 MB

