======================================================================
com.apple.WebKit.WebContent [30181]: 64-bit    Footprint: 124 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  76 MB        0 B          0 B         75    Owned physical footprint (unmapped) (graphics)
  29 MB        0 B      8528 KB          6    WebKit malloc
5232 KB        0 B          0 B          1    untagged (VM_ALLOCATE) (graphics)
4752 KB        0 B       432 KB        432    MALLOC_SMALL
2272 KB        0 B          0 B          8    untagged (VM_ALLOCATE)
1920 KB        0 B          0 B          3    JS JIT generated code
1255 KB        0 B          0 B        540    __DATA_DIRTY
 774 KB        0 B          0 B        580    __DATA
 577 KB        0 B          0 B          1    page table
 464 KB        0 B          0 B         18    stack
 432 KB        0 B          0 B        545    JS VM Gigacage
 368 KB        0 B          0 B          9    MALLOC metadata
 240 KB        0 B          0 B          1    MALLOC_TINY
 197 KB        0 B          0 B       1565    unused dyld shared cache area
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        340    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
  16 KB        0 B          0 B        630    __DATA_CONST
    0 B        0 B        16 KB          2    ImageIO
    0 B    2992 KB          0 B         26    mapped file
    0 B        0 B          0 B          3    app-specific tag 1
    0 B        0 B          0 B          3    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        648    __TEXT
    0 B        0 B          0 B         52    guard
    0 B        0 B          0 B        626    __AUTH_CONST
    ---        ---          ---        ---    ---
 124 MB    2992 KB      8976 KB       6129    TOTAL

Auxiliary data:
    phys_footprint: 124 MB
    phys_footprint_peak: 292 MB

