======================================================================
com.apple.WebKit.GPU [15927]: 64-bit    Footprint: 19 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
8784 KB        0 B          0 B        621    MALLOC_SMALL
2160 KB        0 B          0 B         22    IOAccelerator (graphics)
1872 KB        0 B          0 B          5    WebKit malloc
1728 KB        0 B          0 B         22    Owned physical footprint (unmapped) (graphics)
1127 KB        0 B          0 B        476    __DATA_DIRTY
 897 KB        0 B          0 B          1    page table
 582 KB        0 B          0 B        513    __DATA
 480 KB        0 B          0 B         16    stack
 448 KB        0 B          0 B         10    MALLOC metadata
 320 KB        0 B          0 B          1    MALLOC_TINY
 224 KB        0 B          0 B         19    untagged (VM_ALLOCATE)
 213 KB        0 B          0 B       1455    unused dyld shared cache area
 128 KB        0 B          0 B          1    Accelerate image backing stores
 112 KB        0 B          0 B          4    IOAccelerator
 112 KB        0 B          0 B        562    __AUTH_CONST
 112 KB        0 B          0 B          7    CoreAnimation
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        291    __AUTH
  64 KB        0 B          0 B        564    __DATA_CONST
  64 KB        0 B          0 B          9    IOKit
  64 KB        0 B          0 B          2    __TPRO_CONST
  48 KB        0 B          0 B          3    ColorSync
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B        0 B       211 MB         81    IOSurface
    0 B      14 MB          0 B         17    mapped file
    0 B    2576 KB          0 B        582    __TEXT
    0 B      48 KB          0 B          4    __LINKEDIT
    0 B        0 B          0 B          2    app-specific tag 1
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B         32    JS VM Gigacage
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        161    guard
    0 B        0 B          0 B         22    Owned physical footprint (unmapped)
    ---        ---          ---        ---    ---
  19 MB      17 MB       211 MB       5517    TOTAL

Auxiliary data:
    phys_footprint: 19 MB
    phys_footprint_peak: 157 MB

