======================================================================
com.apple.WebKit.WebContent [19337]: 64-bit    Footprint: 65 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  26 MB        0 B          0 B         59    Owned physical footprint (unmapped) (graphics)
  23 MB        0 B       352 KB          7    WebKit malloc
5232 KB        0 B          0 B          1    untagged (VM_ALLOCATE) (graphics)
5200 KB        0 B          0 B        477    MALLOC_SMALL
1287 KB        0 B          0 B        540    __DATA_DIRTY
1088 KB        0 B          0 B          8    untagged (VM_ALLOCATE)
1088 KB        0 B          0 B          3    JS JIT generated code
 785 KB        0 B          0 B        580    __DATA
 561 KB        0 B          0 B          1    page table
 432 KB        0 B          0 B        545    JS VM Gigacage
 384 KB        0 B          0 B          9    MALLOC metadata
 240 KB        0 B          0 B          1    MALLOC_TINY
 208 KB        0 B          0 B          8    stack
 202 KB        0 B          0 B       1565    unused dyld shared cache area
  80 KB        0 B          0 B          4    app-specific tag 2
  78 KB        0 B          0 B        340    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B        630    __DATA_CONST
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B    6000 KB          0 B         26    mapped file
    0 B      16 KB          0 B        648    __TEXT
    0 B      16 KB          0 B          3    __LINKEDIT
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B        626    __AUTH_CONST
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          3    app-specific tag 1
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B         43    guard
    ---        ---          ---        ---    ---
  65 MB    6032 KB       352 KB       6138    TOTAL

Auxiliary data:
    phys_footprint: 65 MB
    phys_footprint_peak: 299 MB

